Supplement of Clim. Past, 12, 1079–1092, 2016
http://www.clim-past.net/12/1079/2016/
doi:10.5194/cp-12-1079-2016-supplement
© Author(s) 2016. CC Attribution 3.0 License.
Supplement of
A Late Pleistocene sea level stack
Rachel M. Spratt and Lorraine E. Lisiecki
Correspondence to: Lorraine E. Lisiecki (lisiecki@geol.ucsb.edu)
The copyright of individual parts of the supplement might differ from the CC-BY 3.0 licence.
Age(ka) PC1 Sigma 2.50% 25% 50% 75% 97.50%
34 -97.37 6.64 -113.54 -105.2 -101.21 -96.78 -87.15
35 -98.83 6.67 -112.65 -104.5 -100.23 -95.57 -85.72
36 -99.39 6.81 -112.85 -103.73 -99.2 -94.5 -85.29
37 -95.27 6.54 -112.21 -102.29 -97.55 -93.19 -85.74
38 -93.1 6.16 -109.47 -99.05 -94.91 -91.08 -84.17
39 -90.3 5.66 -102.83 -95.06 -91.2 -87.57 -81.14
40 -85.9 5.74 -98.89 -91.29 -87.35 -83.83 -76.15
41 -79.76 5.67 -94.67 -87.45 -83.28 -79.86 -72.62
42 -75.76 5.2 -90.5 -84.13 -80.53 -77.25 -70.82
43 -73.91 4.72 -86.67 -81.6 -78.42 -75.33 -68.74
44 -76.18 4.8 -86.65 -80.74 -77.67 -74.38 -67.68
45 -74.49 4.75 -85.47 -80.55 -77.21 -73.74 -67.24
46 -75.78 5.1 -87.56 -80.94 -77.86 -74.11 -67.52
47 -73.7 5.05 -87.1 -80.77 -77.55 -73.79 -67.3
48 -76.71 5.49 -86.89 -79.49 -76.08 -72.6 -65.61
49 -73.75 6.04 -84.42 -77.67 -73.73 -69.65 -61.64
50 -68.3 6.49 -84.91 -76.6 -72.8 -68.67 -58.55
51 -63.11 6.1 -82.32 -74.69 -70.99 -66.89 -58.02
52 -67.88 6.37 -81.7 -74.12 -70.17 -65.93 -57.24
53 -68.85 6.73 -82.99 -75.5 -71.09 -66.35 -55.98
54 -70.05 7.18 -87.88 -78.75 -74.32 -69.72 -58.82
55 -72.26 7.5 -91.66 -81.75 -77.36 -72.56 -60.95
56 -78.03 7.9 -95.37 -85.39 -80.41 -75.28 -63.04
57 -82.74 7.91 -96.96 -88.29 -83.27 -77.98 -65.22
58 -85.71 8.31 -99.32 -90.65 -85.92 -80.43 -66.11
59 -82.94 8.97 -101.54 -92.84 -87.67 -82.25 -65.19
60 -84.73 8.89 -101.4 -92.76 -87.78 -82.2 -66
61 -86.56 8.68 -100.68 -92.62 -87.85 -82.43 -63.69
62 -84.32 8.77 -101.28 -92.96 -88.13 -83.01 -65.01
63 -84.75 8.15 -100.11 -91.81 -87.53 -82.48 -66.5
64 -83.48 7.06 -97.89 -90.18 -86.17 -81.45 -69.28
65 -82.72 6.97 -97.61 -89.37 -84.46 -79.93 -70.76
66 -82.47 7.09 -95.62 -86.69 -81.94 -77.22 -68.69
67 -79.37 6.84 -92.04 -83.77 -79.7 -75.5 -64.64
68 -71.06 7.3 -88.56 -81.14 -76.54 -71.4 -60.46
69 -68.11 8.84 -85.22 -75.9 -70.08 -63.86 -51.15
70 -65.39 9.4 -79.2 -69.45 -63.63 -56.81 -42.67
71 -51.43 10.04 -75 -64.58 -58.15 -51.42 -35.42
72 -46.71 10.17 -69.63 -57.88 -51.58 -44.1 -29.21
73 -43.84 9.97 -63.09 -51.28 -44.45 -37.86 -23.31
74 -36.18 9.68 -58.1 -47.43 -40.96 -34.26 -21.24
75 -33.06 9.11 -54.25 -42.95 -36.46 -30.73 -18.43
76 -31.58 8.27 -48.54 -39.51 -33.85 -28.46 -16.13
77 -27.69 8.14 -47.93 -38.6 -33.13 -27.59 -16.5
78 -28.8 7.77 -47.08 -37.97 -32.14 -27.28 -16.64
79 -32.95 7.26 -46.29 -37.77 -32.56 -27.56 -18.08
80 -30.85 6.98 -46.3 -38.02 -33.5 -28.44 -19.38
81 -31.36 7.63 -47.64 -38.24 -33.61 -28.07 -17.23
82 -29.64 8.01 -47.38 -38.64 -33.56 -27.89 -15.87
83 -25.57 8.5 -47.98 -38.58 -33.16 -27.16 -14.51
84 -30.66 8.78 -49.34 -40.02 -34.78 -28.22 -14.48
85 -29.99 9.31 -51.51 -42.93 -37.64 -30.82 -15.62
86 -38.77 9.49 -56.47 -46.83 -41.11 -34.96 -18.08
87 -43.09 9.38 -58.24 -49.26 -43.74 -37.19 -20.89
88 -46.6 8.91 -59.96 -51.62 -46.51 -40.18 -25.72
89 -43.44 8.46 -60.47 -51.64 -46.78 -40.97 -28.6
90 -43.63 7.86 -59.49 -50.78 -46.3 -40.72 -28.89
91 -40.3 7.57 -57.19 -49.58 -45.75 -40.52 -27.2
92 -41.67 7.59 -56.66 -49.31 -44.98 -39.88 -26.28
93 -42.16 6.86 -53.77 -46.74 -42.86 -38.34 -27.85
94 -40.52 6.68 -52.39 -44.54 -40.29 -35.78 -26.54
95 -34.24 7.47 -50.8 -41.2 -36.66 -31.1 -21.52
96 -27.74 7.82 -47.5 -37.22 -32.29 -26.85 -16.22
97 -22.19 7.77 -42.02 -32.46 -27.12 -21.71 -11.02
98 -21.19 7.38 -38.21 -28.92 -24.2 -19.16 -9.82
99 -17.26 6.77 -35.67 -27.03 -22.32 -17.8 -9.34
100 -19.49 7.09 -36.28 -27.51 -22.77 -17.55 -9.29
101 -17.72 7.5 -37.95 -29.52 -24.66 -18.94 -9.32
102 -25.03 7.58 -40.61 -32.72 -28 -22.28 -10.86
103 -29.47 7.36 -43.31 -35.2 -31.22 -25.82 -14.15
104 -31.71 6.23 -47.08 -39.33 -35.22 -30.99 -22.42
105 -34.36 6.23 -51.67 -43.15 -38.95 -34.95 -27
106 -40.33 5.91 -53.53 -45.82 -41.91 -37.89 -30.24
107 -45.01 5.84 -56.12 -48.71 -44.78 -40.67 -33.4
108 -44.48 5.71 -58.2 -51 -47.28 -42.92 -36.24
109 -45.95 5.85 -59.78 -52.37 -48.42 -44.37 -37.21
110 -46.36 5.75 -58.82 -51.93 -48.33 -44.09 -35.63
111 -47.08 6.09 -57.92 -51.08 -47.38 -42.93 -34.02
112 -43.18 6.7 -57.09 -49.23 -44.94 -40.58 -29.37
113 -38.93 7.92 -55.23 -46.16 -40.87 -35.68 -23.47
114 -33.84 8.71 -52.11 -41.81 -36.14 -30.32 -17.24
115 -26.17 9.45 -48.38 -36.49 -30.33 -24.09 -10.53
116 -22.5 9.57 -44.07 -29.48 -23.74 -17.35 -4.55
117 -14.09 9.32 -38.52 -23.36 -17.35 -12.11 -0.28
118 -7.56 9.65 -33.23 -17.64 -11.88 -5.92 5.2
119 -4 9.15 -25.34 -12.19 -6.83 -0.92 11.96
120 2.68 8.61 -20.11 -9 -3.73 2.23 13.96
121 3.13 8.04 -16.66 -7.07 -2.31 3.52 14.85
122 2.27 7.48 -16.48 -6.04 -1.37 3.44 14.31
123 1.2 7.72 -18.3 -8.1 -3.35 1.76 11.66
124 -1.18 7.99 -23.61 -11.52 -6.28 -1.15 7.96
125 -6.65 9.21 -32.76 -18.1 -11.68 -5.96 3.82
126 -12.72 10.54 -42.73 -26.53 -18.75 -12.53 -1.38
127 -27.1 12.33 -57.04 -37.36 -28.83 -21.14 -8.26
128 -36.13 14.35 -73.57 -52.24 -42.87 -33.05 -15.92
129 -52.95 15.22 -87.96 -67.36 -56.62 -46.42 -27.15
130 -73.72 16.05 -103.29 -82.63 -71.44 -60.9 -40.2
131 -82.93 15.15 -117.04 -98.46 -88.1 -77.89 -58.22
132 -102.14 13.62 -126.92 -110.98 -101.88 -92.27 -75.11
133 -114.38 11.96 -132.62 -119.7 -111.55 -103.14 -86.55
134 -120.26 9.69 -137.19 -125.8 -119.76 -113.13 -98.98
135 -123.76 8.33 -139.42 -129.57 -123.98 -118.07 -106.97
136 -123.95 7.89 -140.25 -130.79 -125.3 -120.17 -109.67
137 -123.61 7.89 -140.8 -130.68 -125.57 -120.11 -109.74
138 -122.72 7.99 -140.44 -129.97 -124.68 -119.22 -108.75
139 -120.94 8.16 -138.39 -127.79 -122.63 -116.85 -106.21
140 -118.88 8.2 -135.75 -125.28 -120.03 -114.41 -103.44
141 -113.45 8.21 -131.84 -122.39 -116.8 -111.18 -100.51
142 -110.78 8.29 -128.79 -118.53 -112.87 -107.54 -96.54
143 -106.75 8.15 -124.16 -114.8 -109.6 -103.99 -93.07
144 -102.4 8.25 -122.01 -112.35 -106.85 -101.29 -89.94
145 -100.34 8.37 -119.96 -109.97 -104.54 -98.72 -87.28
146 -100.71 8.59 -118.42 -108.22 -103.03 -96.5 -84.49
147 -99.52 8.79 -117.05 -107.36 -102.08 -95.39 -83.15
148 -99.18 9.39 -116.17 -106.02 -100.23 -93.34 -80.07
149 -96.94 9.97 -115.26 -103.92 -97.9 -90.54 -76.2
150 -90.79 10.67 -113.37 -102.05 -95.01 -87.4 -71.82
151 -86.92 11.06 -111.4 -99.12 -92.24 -83.85 -68.1
152 -85.9 11.34 -110.22 -96.86 -89.58 -81.43 -66.06
153 -85.22 11.65 -110.45 -97.3 -89.2 -80.84 -64.99
154 -86.91 11.83 -111.48 -98.44 -90.64 -82.45 -65.21
155 -89.71 11.76 -112.73 -99.79 -91.96 -83.92 -66.29
156 -92.51 11.48 -113.12 -100.42 -92.67 -84.86 -67.92
157 -92.67 11.16 -113.7 -100.61 -93.05 -85.37 -69.1
158 -88.91 10.91 -113.41 -99.72 -92.28 -85.38 -69.99
159 -87.94 10.66 -111.3 -98.16 -90.87 -83.71 -69.84
160 -86.95 10.45 -107.26 -95.19 -88.21 -80.59 -68.12
161 -85.29 10.52 -105.8 -92.69 -85.6 -78.44 -65.74
162 -78.74 10.6 -102.72 -90.32 -82.85 -75.54 -61.83
163 -77.08 10.76 -99.81 -86.67 -79.8 -72.56 -58.32
164 -74.42 10.78 -95.44 -83.01 -75.6 -68.42 -53.52
165 -71.66 10.86 -93.59 -79.24 -72.12 -64.79 -49.49
166 -65.29 10.33 -89.4 -76.25 -69.31 -62.31 -48.42
167 -61.69 9.94 -85.89 -72.48 -65.66 -59.57 -46.43
168 -61.52 9.69 -81.74 -69.19 -62.71 -56.22 -43.66
169 -58.16 9.47 -79.33 -67.77 -61.54 -54.97 -42.17
170 -55.34 9.17 -78.42 -67.77 -62.19 -56.07 -41.44
171 -57.68 8.82 -77.29 -68.06 -62.28 -56.49 -42.28
172 -64.45 8.71 -77.05 -68.55 -63.67 -57.32 -43.49
173 -63.15 8.51 -78.23 -70.04 -64.78 -58.48 -45.47
174 -62.14 8.69 -80.7 -71.67 -66.18 -60.24 -46.37
175 -61.42 8.85 -80.24 -71.57 -65.43 -59.77 -45.66
176 -63.68 9.14 -82.02 -72.06 -66.06 -59.79 -45.79
177 -62.61 9.6 -83.68 -73.85 -67.49 -60.26 -46.73
178 -66.03 9.64 -85.56 -74.81 -68.69 -61.61 -48.19
179 -68.55 9.63 -86.44 -75.59 -69.38 -62.33 -49.27
180 -68.12 9.68 -88.3 -77.06 -70.72 -63.29 -50.86
181 -68.54 9.97 -89.62 -78 -71.39 -64.11 -51.12
182 -68.59 9.78 -89.92 -78.07 -71.76 -64.75 -51.76
183 -68.86 9.53 -90.08 -78.67 -72.54 -64.68 -52.43
184 -70.31 9.51 -89.26 -78.19 -72.09 -65.05 -52.66
185 -71.5 9.33 -87.58 -77.45 -71.15 -64.56 -52.5
186 -67.51 8.85 -84.5 -75.22 -68.79 -62.88 -51.87
187 -64.13 8.55 -82.3 -71.93 -65.89 -59.94 -50.01
188 -58.98 8.27 -77.78 -67.62 -61.36 -55.92 -46.09
189 -55.74 8.01 -72.75 -62.73 -57.1 -51.35 -42.15
190 -50.97 8.16 -67.22 -57.6 -52.01 -46.21 -35.52
191 -44.91 8.28 -63.42 -52.64 -46.74 -41.06 -30.9
192 -37.3 7.61 -57.51 -47.6 -42.3 -37.11 -27.61
193 -32.83 7.39 -52.64 -42.17 -37.25 -32.37 -22.84
194 -32.43 7.44 -47.73 -37.17 -32.42 -27.43 -18.33
195 -26.14 8.12 -43.23 -33.18 -28.05 -22.88 -11.59
196 -21.7 8.7 -40.12 -28.89 -24.05 -18.31 -5.12
197 -13.48 8.23 -33.94 -24.26 -19.2 -13.25 -1.05
198 -10.09 7.57 -29.94 -20.77 -15.88 -11.08 -1.05
199 -7.72 7.42 -30.57 -20.34 -15.46 -10.63 -1.53
200 -11.24 7.13 -31.15 -21.22 -16.63 -12.39 -2.01
201 -19.54 7.77 -34.84 -24.52 -19.6 -14.38 -3.75
202 -21.5 7.83 -37.32 -28.16 -23.02 -17.6 -6.2
203 -26.54 8.11 -38.42 -29.03 -23.74 -18.29 -6.62
204 -23.73 8.69 -36.98 -28.07 -21.98 -16.31 -3.55
205 -14.39 9.93 -37.8 -27.66 -20.83 -14.15 1.82
206 -9.84 10.21 -36.75 -23.61 -17.29 -10.41 4.99
207 -14.1 10.51 -33.07 -21.26 -13.94 -6.62 6.94
208 -10.13 11.06 -33.91 -21.32 -13.7 -5.44 8.75
209 -10.6 11.02 -36.1 -20.97 -13.9 -6.54 8.31
210 -11.47 10.71 -32.76 -19.24 -12.81 -5.59 9.33
211 -9.45 10.92 -32.57 -18.72 -11.89 -4.64 10.22
212 -7.38 10.99 -32.48 -18.05 -11.21 -3.82 11.61
213 -6.78 10.76 -31.36 -17.67 -10.85 -3.19 10.74
214 -7.05 10.24 -31.51 -18.03 -11.46 -4.62 9.5
215 -9.18 10.12 -34.08 -21.34 -14.51 -7.75 5.23
216 -13.1 10 -38.83 -25.91 -18.8 -12.53 0.74
217 -23.51 10.25 -45.06 -32.1 -24.78 -17.92 -3.7
218 -29.26 10.72 -53.69 -40.67 -33.2 -25.52 -11.56
219 -36.81 11.23 -64.27 -50.38 -42.7 -35.43 -20.7
220 -49.33 11.33 -71.72 -59.04 -51.42 -43.59 -28.9
221 -61.75 11.26 -80.17 -68.19 -60.18 -52.19 -37.15
222 -67.03 9.92 -84.7 -74.38 -67.77 -60.64 -45.94
223 -73.68 9.27 -88.74 -78.82 -72.81 -66.19 -51.96
224 -72.15 8.69 -89.32 -80.54 -74.72 -68.48 -55.76
225 -74.35 8.04 -89.03 -79.86 -74.2 -68.83 -57.44
226 -70.68 7.46 -86.16 -77.73 -72.39 -67.26 -56.76
227 -66.88 7.29 -84.73 -75.81 -70.96 -65.97 -56.14
228 -65.45 6.79 -80.39 -72.38 -67.78 -63.57 -53.85
229 -65.06 6.97 -76.6 -68.81 -64.22 -59.75 -48.78
230 -59.11 8.12 -73.94 -64.87 -59.37 -53.77 -43
231 -51.45 9.5 -71.41 -58.9 -52.69 -45.64 -34.05
232 -41.76 9.78 -64.11 -51.6 -44.77 -37.84 -25.49
233 -31.59 9.65 -55.79 -43.96 -37.27 -30.48 -18.92
234 -26.47 9.23 -48.17 -36.1 -29.79 -23.28 -12.27
235 -21.38 9.05 -41.7 -29.15 -23.3 -17.11 -6.3
236 -15.03 8.65 -38.02 -25.5 -19.98 -14.2 -3.4
237 -9.44 7.89 -36.19 -24 -18.82 -14.06 -4.69
238 -14.82 7.64 -36.23 -25.13 -19.85 -14.54 -6.94
239 -21.09 8.31 -42.1 -29.32 -23.48 -18.19 -9.7
240 -26.31 9.54 -51.68 -36.86 -30.29 -24.12 -14.84
241 -35.14 11.06 -62.85 -45.45 -37.51 -30.9 -19.38
242 -44.9 11.35 -70.17 -53.4 -46.01 -38.14 -25.03
243 -53.72 13.94 -78.84 -61.65 -53.41 -44.25 -22.33
244 -58.16 14.8 -86.18 -70.12 -61.61 -52.43 -28.82
245 -54.47 15.51 -94.02 -77.6 -68.69 -57.82 -31.75
246 -73.1 15.29 -99.84 -83.2 -74.67 -65.07 -33.85
247 -80.67 15.9 -103.93 -89.06 -80.38 -70.73 -44.67
248 -86.71 11.84 -108.53 -94.7 -87.12 -78.86 -63.57
249 -88.3 11.47 -113.32 -98.97 -91.62 -83.46 -67.55
250 -91.78 11.89 -116.99 -101.83 -94.38 -86.35 -70.79
251 -94.31 12.64 -121.22 -103.67 -96.01 -87.71 -71.6
252 -94.5 13.98 -124.4 -105.21 -96.7 -87.68 -69.21
253 -95.65 15.37 -125.79 -105.39 -96.4 -86.01 -66.56
254 -91.97 15.42 -125.08 -104.43 -95.37 -85.46 -65
255 -86.9 15 -122.85 -103.13 -94.47 -85.29 -62.25
256 -90.3 14.86 -120.89 -101.98 -94.4 -85.32 -58.5
257 -93.53 13.45 -115.4 -100.68 -93.81 -86.51 -63.22
258 -93.71 9.74 -110.67 -98.27 -92.25 -85.94 -72.6
259 -89.89 8.38 -105.76 -95.82 -90.12 -84.67 -73.2
260 -81.06 8.34 -102.07 -92.5 -87.18 -81.48 -69.33
261 -78.3 8.1 -97.55 -88.58 -83.77 -78.02 -64.74
262 -77.68 7.99 -95.22 -87.39 -82.82 -77.8 -63.24
263 -77.5 7.75 -95.57 -87.95 -83.39 -78.16 -64.72
264 -85.38 7.98 -96.3 -89.19 -84.69 -79.39 -65.2
265 -84.54 8.57 -97.51 -90.74 -86.76 -80.33 -63.91
266 -82.09 8.24 -100.42 -93.88 -89.38 -83.56 -66.92
267 -82.77 8.23 -102.76 -95.33 -91.3 -85.41 -69.7
268 -93.08 8.29 -105.22 -98.08 -93.75 -88.36 -71.69
269 -97.2 8.13 -105.72 -99.81 -95.75 -90.44 -74.37
270 -98.21 7.59 -106.96 -99.44 -94.95 -90.25 -76.66
271 -89.95 8.74 -106.36 -97.14 -91.75 -85.4 -72.7
272 -80.22 8.89 -103.98 -92.51 -86.67 -80.75 -68.03
273 -76.12 9.05 -95.65 -86.06 -80.67 -74.51 -60.21
274 -74.38 10.08 -90.81 -81.53 -75.63 -68.06 -51.7
275 -67.56 10.91 -87.92 -77.67 -70.75 -62.98 -45.78
276 -61.85 11.39 -85.09 -73.26 -66.07 -57.79 -39.84
277 -56.75 11.7 -81.33 -68.29 -60.78 -52.68 -35.27
278 -53.52 11.69 -76.99 -64.02 -56.39 -47.92 -30.72
279 -50.13 11.32 -72.06 -59.28 -51.86 -44 -28.17
280 -46.06 10.87 -68.1 -55.39 -47.69 -40.46 -25.86
281 -39.89 10.49 -64.17 -51.93 -44.55 -37.16 -24.11
282 -37.94 10.12 -60.7 -48.22 -41.57 -34.25 -20.73
283 -36.69 9.61 -57.69 -45.91 -39.53 -33.12 -19.92
284 -35.06 9.13 -57.35 -45.07 -38.93 -32.75 -20.51
285 -35.22 8.91 -57.53 -45.57 -39.15 -33 -22.68
286 -36.57 8.56 -57.52 -46.42 -40.75 -34.57 -23.9
287 -37.85 8.06 -58.54 -49.69 -44.45 -38.54 -27.87
288 -42.69 7.5 -61.7 -53.22 -48.14 -43.41 -32.08
289 -51.85 6.73 -65.11 -56.74 -52.49 -48.04 -38.34
290 -56.69 5.79 -67.24 -59.6 -56.17 -52.35 -43.98
291 -58.53 5.45 -68.42 -61.9 -58.71 -55.26 -45.73
292 -56.55 6.25 -69.2 -62.59 -58.84 -54.91 -43.86
293 -54.88 7.04 -69.64 -62.13 -57.86 -53.4 -41.51
294 -53.23 7.88 -69.59 -61.07 -56 -50.99 -38.94
295 -52.4 8.67 -69.62 -59.81 -54.62 -48.6 -36.37
296 -48.95 9.48 -69.27 -59.17 -53.07 -46.76 -31.55
297 -48.35 10.18 -68.92 -57.93 -51.17 -44.51 -29.19
298 -47.6 10.68 -68.21 -55.55 -49.56 -41.94 -26.13
299 -45.33 10.85 -67.89 -54 -47.24 -40.05 -23.81
300 -42.88 10.97 -65.95 -51.87 -45.24 -38.05 -22.3
301 -39.59 11.07 -62.9 -49.3 -42.45 -35.29 -19.17
302 -38.01 11.11 -61.01 -47.15 -40.66 -33.31 -16.17
303 -33.06 11.36 -59.05 -47.03 -39.81 -32.79 -13.66
304 -35.35 11.39 -57.74 -46.35 -38.83 -32.21 -13.53
305 -39.42 11.35 -56.45 -44.43 -37.8 -30.31 -11.93
306 -35.78 11.62 -56.32 -44.48 -37.7 -29.91 -10.9
307 -30.55 11.97 -56.58 -43.07 -36.2 -28.35 -9.17
308 -31.07 11.69 -53.72 -39.64 -33.07 -25.66 -6.86
309 -27.9 11.35 -49.42 -37.11 -30.33 -23.29 -4.7
310 -24.1 11.5 -47.32 -35.85 -28.71 -21.4 -2.16
311 -22.22 11.34 -44.13 -33.4 -26.23 -18.78 -0.47
312 -21.88 11.5 -41.69 -30.04 -22.79 -15.37 2.81
313 -18.42 11.79 -39.75 -28.18 -20.59 -12.76 5.31
314 -12.39 11.84 -37.87 -25.52 -17.91 -10.28 8.08
315 -12.12 11.74 -36.81 -22.74 -15.56 -7.98 9.2
316 -9.85 11.38 -34.64 -21.02 -13.71 -6.62 11.03
317 -10.45 11.21 -33.84 -20.57 -13.19 -6.12 10.57
318 -10.88 10.65 -33.02 -19.83 -12.42 -5.69 9.32
319 -11.31 10.57 -32.95 -19.11 -11.78 -4.95 8.94
320 -8.44 10.89 -32.93 -17.92 -10.2 -2.93 9.94
321 -6.92 11.43 -32.43 -16.51 -8.21 -0.92 12.01
322 -2.51 11.42 -31.39 -14.51 -6.56 1 14.09
323 -0.71 11.56 -30.6 -13.78 -6.11 1.69 14.09
324 -2.6 11.63 -31.24 -14.06 -6.19 1.56 15.55
325 -7.77 11.33 -31.62 -13.95 -6.41 0.84 13.45
326 -7.75 10.74 -32.07 -13.95 -6.31 0.52 12.16
327 -3.06 10.95 -31.6 -14.03 -6.49 0.21 12.43
328 -0.61 11.34 -31.93 -14.44 -6.51 1.11 13.74
329 -1.75 12.28 -36.17 -16.47 -8.13 -0.31 13.26
330 -6.91 14.31 -43.22 -24.7 -14.93 -4.91 11.35
331 -16.42 14.71 -50.72 -32.24 -22.47 -12.09 7.66
332 -34.02 15.01 -59.96 -41.6 -31.16 -21.32 -2.48
333 -36.93 14.93 -70.56 -52.26 -42.09 -32.57 -12.17
334 -48.06 14.72 -81.97 -63.01 -53.28 -43.87 -22.33
335 -58.42 15.56 -91.03 -73.54 -63.59 -52.88 -29.64
336 -74.42 15.43 -99.04 -84.2 -74.83 -64.84 -37.25
337 -85.7 13.57 -105.56 -92.14 -83.87 -75.61 -50.24
338 -91.22 10.66 -111.45 -97.98 -91.02 -84.04 -70.11
339 -93.28 9.94 -115.29 -103.47 -97.17 -89.91 -76.44
340 -96.85 9.92 -118.92 -107.96 -101.38 -94.48 -80.68
341 -103.88 10.14 -122.21 -111.55 -104.5 -97.6 -82.82
342 -108.11 10.24 -124.95 -114.67 -108.09 -100.73 -84.19
343 -108.58 9.81 -126.14 -116.8 -110.37 -103.74 -87.27
344 -108.8 9.8 -126.25 -116.99 -110.95 -104.1 -88.11
345 -109.04 9.73 -126.09 -116.1 -109.88 -103.33 -88.15
346 -105.84 9.4 -124.52 -114.7 -108.79 -102.09 -87.98
347 -103.3 8.87 -122.26 -112.44 -107.26 -100.91 -87.03
348 -102.66 7.97 -119.25 -109.11 -104.25 -98.93 -86.87
349 -101.03 7.71 -116.23 -106 -100.87 -95.56 -85.74
350 -97.04 8.01 -113.59 -102.62 -97.83 -92.69 -81.57
351 -89.97 7.9 -109.5 -99.23 -94.47 -89.32 -78.18
352 -85.13 6.99 -103.99 -95.93 -91.14 -87.01 -76.67
353 -84.01 6.34 -100.74 -93.76 -90.12 -86.26 -74.97
354 -86.49 6.59 -101.15 -94.94 -91.31 -87.43 -74.89
355 -91.12 6.18 -102.67 -96.11 -92.69 -89.3 -77.23
356 -94.94 5.36 -104.3 -97.03 -93.96 -90.66 -82.64
357 -92.98 5.05 -105.54 -97.45 -94.44 -91.14 -85.04
358 -91.88 5.71 -105.08 -96.66 -92.84 -89.36 -82.6
359 -88.63 6.18 -102.37 -93.9 -89.68 -85.79 -77.46
360 -84.77 7.21 -99.94 -89.97 -85.67 -80.82 -70.5
361 -78.88 8.03 -94.43 -85.33 -80.8 -75.42 -62.55
362 -71.15 7.99 -89.74 -80.99 -76.52 -71.64 -57.9
363 -66.07 7.2 -85.09 -76.48 -72.4 -68 -56.4
364 -66.4 8.01 -81.76 -73.21 -68.62 -63.54 -50.81
365 -65.1 9.52 -79.82 -71.11 -64.5 -58.09 -43.21
366 -57.26 10.39 -78.6 -68.08 -61.19 -53.43 -38.53
367 -50.45 10.52 -75.97 -63.94 -57.25 -49.49 -35.61
368 -49.22 10.33 -72.75 -60.03 -53.69 -46.36 -32.44
369 -48 9.97 -69.29 -57.92 -52.2 -45.15 -30.39
370 -49.3 9.38 -67.21 -56.85 -51.28 -44.7 -30.36
371 -49.22 8.48 -65.93 -56.26 -51.13 -44.91 -32.84
372 -46.86 7.41 -63.79 -55.98 -51.01 -45.51 -35.17
373 -48.47 6.48 -62.66 -55.64 -51.27 -46.85 -37.38
374 -47.49 5.99 -61.34 -55.1 -51.31 -46.93 -38.47
375 -50.2 5.87 -62.1 -55.48 -51.97 -47.64 -39.49
376 -48.25 6.18 -62.7 -56.23 -52.22 -47.72 -38.45
377 -50.22 7.72 -62.63 -55.4 -50.8 -45.13 -31.42
378 -49.56 10.45 -61 -52.75 -47.27 -40 -20.34
